city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Baidari,41.4000,44.8833,Georgia,GE,Kvemo Kartli,,1236,1236
Natakhtari,41.9194,44.7272,Georgia,GE,Mtskheta Mtianeti,,1234,1234
Gurianta,41.9425,41.9578,Georgia,GE,Guria,,1215,1215
Ets’eri,42.1983,42.9164,Georgia,GE,Imereti,,1206,1206
Zemo Nat’anebi,41.9658,41.8408,Georgia,GE,Guria,,1174,1174
Dvabzu,41.9364,42.0575,Georgia,GE,Guria,,1171,1171
Melekeduri,41.9481,42.0239,Georgia,GE,Guria,,1170,1170
Marani,42.1583,42.2861,Georgia,GE,Samegrelo-Zemo Svaneti,,1153,1153
Bandza,42.3489,42.2842,Georgia,GE,Samegrelo-Zemo Svaneti,,1099,1099
Khelvachauri,41.5856,41.6689,Georgia,GE,Ajaria,minor,1085,1085
Kvemo Ch’ala,42.0261,44.3950,Georgia,GE,Shida Kartli,,1075,1075
Ali,42.0872,43.6467,Georgia,GE,Shida Kartli,,1068,1068
Mukhiani,42.1956,42.5928,Georgia,GE,Imereti,,1058,1058
Bokhvauri,41.9242,42.0358,Georgia,GE,Guria,,1056,1056
Likhauri,41.8806,42.0056,Georgia,GE,Guria,,952,952
Abastumani,41.7525,42.8319,Georgia,GE,Samtskhe-Javakheti,,937,937
Abastumani,42.4075,41.8686,Georgia,GE,Samegrelo-Zemo Svaneti,,920,920
Kveda Dzimiti,41.9939,42.0589,Georgia,GE,Guria,,885,885
Motsvnari,41.9847,41.8250,Georgia,GE,Guria,,873,873
Kirovi,42.4128,41.6700,Georgia,GE,Samegrelo-Zemo Svaneti,,859,859
Dzveli Abasha,42.2372,42.2136,Georgia,GE,Samegrelo-Zemo Svaneti,,859,859
Zeda Bakhvi,41.9456,42.1086,Georgia,GE,Guria,,839,839
Sarpi,41.5214,41.5519,Georgia,GE,Ajaria,,826,826
Konchkati,41.9781,41.9047,Georgia,GE,Guria,,805,805
Kvemo Mak’vaneti,41.9042,42.0183,Georgia,GE,Guria,,797,797
Adigeni,41.6750,42.7033,Georgia,GE,Samtskhe-Javakheti,minor,783,783
Gaghma Dvabzu,41.9492,42.0669,Georgia,GE,Guria,,772,772
Jvari,42.7175,42.0508,Georgia,GE,Samegrelo-Zemo Svaneti,,763,763
Tkhinvali,41.9639,41.8756,Georgia,GE,Guria,,733,733
Naghobilevi,41.9422,41.8667,Georgia,GE,Guria,,730,730
Dzveli Khibula,42.4519,41.9806,Georgia,GE,Samegrelo-Zemo Svaneti,,712,712
Kvachalati,41.8819,42.0186,Georgia,GE,Guria,,694,694
Zemo Mak’vaneti,41.8944,42.0389,Georgia,GE,Guria,,684,684
Kveda Bakhvi,41.9594,42.0906,Georgia,GE,Guria,,681,681
Baghdadi,41.9333,42.1000,Georgia,GE,Guria,,678,678
Khvarbeti,41.9536,41.9117,Georgia,GE,Guria,,673,673
Kvakhchiri,42.2058,42.7339,Georgia,GE,Imereti,,647,647
Khojorni,41.2278,44.6903,Georgia,GE,Kvemo Kartli,,635,635
Oni,42.5839,43.4417,Georgia,GE,Rach’a-Lechkhumi da Kvemo Svaneti,minor,626,626
Tsikhisperdi,41.9578,41.9414,Georgia,GE,Guria,,610,610
Akhkerpi,41.2192,44.5764,Georgia,GE,Kvemo Kartli,,610,610
Vakijvari,41.9172,42.1453,Georgia,GE,Guria,,597,597
Tsitelmta,41.9128,42.0450,Georgia,GE,Guria,,591,591
Nasamkhrali,41.9169,45.5408,Georgia,GE,K’akheti,,576,576
Boriti,42.1128,43.2700,Georgia,GE,Imereti,,557,557
Niabauri,41.8642,42.0061,Georgia,GE,Guria,,553,553
Tsaghvli,42.1208,43.6972,Georgia,GE,Shida Kartli,,538,538
Silauri,41.9992,41.9992,Georgia,GE,Guria,,531,531
Likhni,43.1433,40.6011,Georgia,GE,Abkhazia,,524,524
Vake,41.9867,41.8589,Georgia,GE,Guria,,504,504
Chanieti,41.8683,41.9828,Georgia,GE,Guria,,489,489
Tkotsa,42.0922,43.7053,Georgia,GE,Shida Kartli,,487,487
Tskhemliskhidi,41.9258,42.0842,Georgia,GE,Guria,,446,446
Samshvilde,41.5161,44.4908,Georgia,GE,Kvemo Kartli,,443,443
Skande,42.2639,43.0481,Georgia,GE,Imereti,,434,434
Mirzaani,41.5633,45.9722,Georgia,GE,K’akheti,,433,433
Gachedili,42.4681,42.3708,Georgia,GE,Samegrelo-Zemo Svaneti,,427,427
Askana,41.9528,42.1564,Georgia,GE,Guria,,424,424
Pampaleti,41.9306,42.1194,Georgia,GE,Guria,,411,411
Chala,41.9261,42.0586,Georgia,GE,Guria,,408,408
Shrosha,42.1111,43.1711,Georgia,GE,Imereti,,400,400
Akhalsopeli,41.9750,41.9869,Georgia,GE,Guria,,400,400
Chikhori,42.2319,43.0828,Georgia,GE,Imereti,,398,398
Shroma,41.9886,41.8372,Georgia,GE,Guria,,392,392
Ch’q’vishi,42.1253,42.4336,Georgia,GE,Imereti,,376,376
Gantiadi,41.9797,41.9325,Georgia,GE,Guria,,373,373
Nagomari,41.9978,42.1150,Georgia,GE,Guria,,365,365
Kvemo Orozmani,41.3064,44.2008,Georgia,GE,Kvemo Kartli,,361,361
Kemperi,42.0417,43.6028,Georgia,GE,Shida Kartli,,350,350
Jumati,42.0100,41.9639,Georgia,GE,Guria,,345,345
Gomi,41.8931,42.1014,Georgia,GE,Guria,,344,344
Zinobiani,41.8969,45.9331,Georgia,GE,K’akheti,,337,337
Bulvani,42.1800,42.2458,Georgia,GE,Samegrelo-Zemo Svaneti,,337,337
Zeda Uchkhubi,41.9236,42.0972,Georgia,GE,Guria,,335,335
Nakhunavo,42.4217,42.3319,Georgia,GE,Samegrelo-Zemo Svaneti,,333,333
Zeda Dzimiti,42.0086,42.0586,Georgia,GE,Guria,,330,330
Dabali Ets’eri,41.9611,42.1444,Georgia,GE,Guria,,324,324
Dghnorisa,42.4686,42.8183,Georgia,GE,Imereti,,321,321
Potskho-Ets’eri,42.7456,42.0381,Georgia,GE,Samegrelo-Zemo Svaneti,,306,306
Shua Isnari,41.9914,42.0975,Georgia,GE,Guria,,293,293
Grigoleti,42.0369,41.7392,Georgia,GE,Guria,,286,286
Kviriketi,41.9139,42.0278,Georgia,GE,Guria,,284,284
Kakuti,41.8542,41.9708,Georgia,GE,Guria,,282,282
Zvare,41.9747,43.4078,Georgia,GE,Imereti,,279,279
Ubisi,42.0986,43.2242,Georgia,GE,Imereti,,276,276
Baileti,41.9769,41.9700,Georgia,GE,Guria,,274,274
Mziani,41.9792,42.1583,Georgia,GE,Guria,,263,263
Rustavi,42.2897,43.8543,Georgia,GE,Kvemo Kartli,admin,,
Keda,41.6009,41.9401,Georgia,GE,Ajaria,minor,,
Kareli,42.0244,43.9011,Georgia,GE,Shida Kartli,minor,,
Chkhorots’q’u,42.5258,42.1321,Georgia,GE,Samegrelo-Zemo Svaneti,minor,,
Khulo,41.6459,42.3146,Georgia,GE,Ajaria,minor,,
Shuakhevi,41.6242,42.1857,Georgia,GE,Ajaria,minor,,
Asp’indza,41.5739,43.2483,Georgia,GE,Samtskhe-Javakheti,minor,,
Tianeti,42.1083,44.9639,Georgia,GE,Mtskheta Mtianeti,minor,,
St’epants’minda,42.6567,44.6433,Georgia,GE,Mtskheta Mtianeti,minor,,
Lent’ekhi,42.7889,42.7223,Georgia,GE,Rach’a-Lechkhumi da Kvemo Svaneti,minor,,
Akhalgori,42.1260,44.4833,Georgia,GE,Mtskheta Mtianeti,minor,,
Java,42.3997,43.9367,Georgia,GE,Mtskheta Mtianeti,minor,,
